ems_no,county,company_name,address,process_id,process_name,category,expiry_date
F1300085,新北市,奇鈺精密鑄造股份有限公司,新北市土城區沛陂里中山路一九號,M01,鋼鑄造程序,操作,115/11/18
F1300085,新北市,奇鈺精密鑄造股份有限公司,新北市土城區沛陂里中山路一九號,M02,金屬噴磨（噴砂）處理程序,操作,115/11/18
F1300165,新北市,凌宇化工股份有限公司,新北市土城區沛陂里大同街一九號,M02,化粧品製造程序,操作,116/11/08
F1300209,新北市,上豐實業有限公司,新北市土城區大暖路一一二號,M01,其他合成樹脂或塑膠製造程序,操作,117/03/29
F1300218,新北市,巨豐企業股份有限公司,新北市土城區頂埔里大暖路七三號,M01,其他電線及電纜（含光纖電纜）製造程序,操作,119/12/25
F1300405,新北市,新美光股份有限公司,新北市土城區沛陂里中山路五六號,M01,印刷油墨化學原料製造程序,操作,115/05/08
F1300718,新北市,昇龍工業股份有限公司一廠,新北市土城區沛陂里民族街三號,M01,接著劑化學製造程序,操作,115/07/18
F1300898,新北市,喜可工業股份有限公司,新北市土城區沛陂里自強街二五、二五之一號五樓,M01,鍋爐蒸氣產生程序,操作,116/11/03
F1300996,新北市,東泰保麗龍有限公司,新北市土城區忠義路七二號,M02,鍋爐蒸氣產生程序,操作,116/03/04
F1301019,新北市,鴻運瀝青化學股份有限公司,新北市土城區承天路一四號,M01,瀝青混凝土製造程序,操作,119/05/03
F1301117,新北市,菲力工業股份有限公司第二工廠,新北市土城區沛陂里復興街二○、二二、二四號,M01,自行車表面塗裝程序,操作,119/08/26
F1302196,新北市,長豐紡織科技股份有限公司,新北市土城區沛陂里德安街二號及二之一號,M01,印染整理程序,操作,118/10/02
F1302196,新北市,長豐紡織科技股份有限公司,新北市土城區沛陂里德安街二號及二之一號,M02,鍋爐蒸氣產生程序,操作,115/10/15
F1302212,新北市,興邦印染廠股份有限公司,新北市土城區沛陂里福安街一一四號,M01,鍋爐蒸氣產生程序,操作,119/06/08
F1302212,新北市,興邦印染廠股份有限公司,新北市土城區沛陂里福安街一一四號,M02,印染整理程序,操作,115/03/01
F1302258,新北市,廣銘企業股份有限公司,新北市土城區沛陂里中山路三○號、三二號,M01,印染整理程序,操作,118/09/30
F1302258,新北市,廣銘企業股份有限公司,新北市土城區沛陂里中山路三○號、三二號,M02,鍋爐蒸氣產生程序,操作,119/11/03
F1302310,新北市,信綺絲織廠股份有限公司,新北市土城區頂埔里大暖路六五、六七、六九號,M01,印染整理程序,操作,116/04/09
F1302310,新北市,信綺絲織廠股份有限公司,新北市土城區頂埔里大暖路六五、六七、六九號,M03,熱媒加熱程序,操作,115/03/08
F1302310,新北市,信綺絲織廠股份有限公司,新北市土城區頂埔里大暖路六五、六七、六九號,M04,鍋爐蒸氣產生程序,操作,115/03/09
F1302418,新北市,欣成紙器股份有限公司,新北市土城區沛陂里中山路六一號,M01,鍋爐蒸氣產生程序,操作,119/01/13
F1302427,新北市,祥琪紙器股份有限公司土城廠,新北市土城區大安里承天路二七號,M01,鍋爐蒸氣產生程序,操作,119/06/14
F1302436,新北市,七星化學製藥股份有限公司,新北市土城區沛陂里福安街七五號,M01,鍋爐蒸氣產生程序,操作,118/08/10
F1302436,新北市,七星化學製藥股份有限公司,新北市土城區沛陂里福安街七五號,M02,其他生物藥品製造程序,操作,116/02/20
F1302552,新北市,福鎂工業股份有限公司,新北市土城區大安里亞洲路一一巷三弄二六號,M01,其他金屬表面處理程序,操作,115/08/14
