ems_no,county,company_name,address,process_id,process_name,category,permit_no,effective_date,expiry_date
F0702414,新北市,晃成企業股份有限公司,新北市樹林區三龍里三龍街四五巷八號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F0897-08號,,119/11/01
F0702478,新北市,君昇實業股份有限公司,新北市樹林區俊興街二一○巷六、一二號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1433-04號,,118/04/08
F0702549,新北市,國力混凝土工業股份有限公司,新北市樹林區北園里西圳街一段一一六巷一四號,M01,M01 - 水泥製品製造程序,操作,新北市環操證字第F0338-05號,,116/12/18
F0702567,新北市,新北市肉品市場,新北市樹林區俊安街四三號,M01,M01 - 屠宰作業程序,操作,新北市環操證字第F1908-03號,,119/03/28
F0702870,新北市,祐鋅實業有限公司,新北市樹林區俊英街一一六巷二九弄四、六、八號,M01,M01 - 其他金屬品處理加工程序,操作,新北市環操證字第F0851-07號,,119/08/30
F0702969,新北市,崇友企業有限公司,新北市樹林區三龍里三俊街六五巷一八弄三號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F1164-06號,,115/08/07
F0703251,新北市,先進工業股份有限公司,新北市樹林區圳生里三俊街二五二巷一三號,M02,M02 - 印刷電路板製造程序,操作,新北市環操證字第F0421-07號,,118/04/15
F0703859,新北市,尚德有限公司,新北市樹林區金寮里光武街三○巷一一號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F2246-00號,,119/03/25
F0703948,新北市,樹林垃圾焚化廠,新北市樹林區樂山里中山路三段二一二號,M01,M01 - 廢棄物焚化處理程序,操作,新北市環操證字第F0174-15號,,116/07/12
F0704025,新北市,維毅實業有限公司,新北市樹林區圳生里俊興街二二四巷一四號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F2193-00號,,117/12/17
F0704052,新北市,鉅翔金屬科技工業股份有限公司,新北市樹林區圳安里俊英街二五四號,M01,M01 - 其他金屬熱處理程序,操作,新北市環操證字第F2021-01號,,118/01/01
F0704212,新北市,成功瀝青工業股份有限公司第二廠,新北市樹林區北園里西圳街二段六○號,M01,M01 - 瀝青混凝土製造程序; M02 - 堆置場作業程序,操作,新北市環操證字第F0191-10號; 新北市環操證字第F1580-06號,,119/09/21
F0704347,新北市,天強企業股份有限公司,新北市樹林區三龍里三龍街二四巷二號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F0477-07號,,117/03/12
F0704525,新北市,龍懋電子股份有限公司樹林廠,新北市樹林區三多里三龍街二○號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1743-03號,,119/02/05
F0704687,新北市,永麗企業社,新北市樹林區圳民里中正路二二○巷一五號,M01,M01 - 金屬表面清洗程序,操作,新北市環操證字第F2222-00號,,118/10/17
F0704776,新北市,協灃企業股份有限公司,新北市樹林區金寮里武林街一○之三號,M01,M01 - 印染整理程序,操作,新北市環操證字第F0863-09號,,119/10/20
F0704874,新北市,百為實業有限公司,新北市樹林區三龍里三俊街八一巷四二號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F0813-07號,,114/12/31
F0705040,新北市,訢合企業股份有限公司,新北市樹林區柑園里佳園路三段三三號,M01,M01 - 鍋爐蒸氣產生程序; M03 - 印染整理程序,操作,新北市環操證字第F0651-07號; 新北市環操證字第F0650-08號,,116/04/25
F0705246,新北市,亞利預鑄工業股份有限公司樹林預鑄廠,新北市樹林區北園里佳園路二段三之一號,M01,M01 - 水泥製品製造程序; M02 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F1124-10號; 新北市環操證字第F1197-06號,,119/06/27
F0705639,新北市,連強紡織有限公司,新北市樹林區三龍里三龍街三八號,M01,M01 - 印染整理程序; M02 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F1410-06號; 新北市環操證字第F1411-06號,,118/11/27
F0706001,新北市,金協昌科技股份有限公司,新北市樹林區坡內里備內街五二之一號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F2011-03號,,115/11/13
F0706074,新北市,柏凱實業股份有限公司,新北市樹林區金寮里樹潭街一○之五號及一○號,M01,M01 - 鍋爐蒸氣產生程序; M02 - 印染整理程序,操作,新北市環操證字第F1283-09號; 新北市環操證字第F1284-09號,,117/01/30
F0706172,新北市,加金企業股份有限公司,新北市樹林區東興街一六巷三○號,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F1176-04號,,115/05/21
F0706252,新北市,順昶塑膠股份有限公司樹林廠,新北市樹林區北園里西圳街一段一一一號,M01,M01 - 塑膠膜袋製造程序; M02 - 凹版印刷作業程序,操作,新北市環操證字第F1113-08號; 新北市環操證字第F2261-00號,,119/09/01
F0707491,新北市,台盟電子股份有限公司,新北市樹林區三龍里三龍街一五五號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1510-07號,,115/11/09
F0708925,新北市,力基實業股份有限公司,新北市樹林區圳生里三俊街二五二巷三三號,M01,M01 - 鋁鑄造製造程序,操作,新北市環操證字第F2141-00號,,116/12/20
